213 18 08 30.82 +05 39 11.8 RRAB 
214 18 08 44.55 +05 57 55.0 SR   
215 18 08 55.97 +05 12 35.7 SR:  
216 18 08 56.18 +05 57 10.1 EW   
217 18 09 04.43 +07 55 37.8 RRC: 
218 18 09 09.12 +05 04 23.6 EB   
219 18 09 09.16 +03 47 52.1 LB   
220 18 09 09.93 +07 28 09.8 SR   
221 18 09 13.54 +05 50 41.1 RRC  
222 18 09 23.78 +06 51 47.7 LB   
223 18 09 26.16 +05 35 58.9 EW   
224 18 09 27.62 +04 28 50.7 HADS 
225 18 09 48.60 +06 00 37.6 SR   
226 18 09 51.09 +05 03 47.2 EB   
227 18 09 53.94 +04 16 08.6 EA   
228 18 09 59.29 +04 44 29.1 RRAB 
229 18 10 07.79 +07 58 22.7 LB   
230 18 10 17.44 +08 11 27.1 EW   
231 18 10 20.07 +06 02 08.0 EB   
232 18 10 24.56 +05 27 16.3 EB   
233 18 10 29.54 +04 22 49.3 RRC  
234 18 10 55.71 +06 20 08.7 EB   
235 18 10 59.00 +05 07 48.6 LB   
236 18 11 05.34 +07 54 03.6 EW   
237 18 11 12.67 +05 26 17.1 EW   
238 18 11 20.03 +07 16 11.9 EW   
239 18 11 22.94 +03 43 39.2 RRAB 
240 18 11 25.22 +08 41 15.5 RRAB 
241 18 11 51.49 +03 50 02.6 EW   
242 18 12 07.63 +06 03 44.7 LB   
243 18 12 09.75 +05 18 40.1 SR   
244 18 12 14.39 +09 06 17.7 SR:  
245 18 12 21.45 +05 26 55.7 SR:  
246 18 12 29.32 +05 10 05.6 LB   
247 18 12 31.61 +05 21 09.6 EW   
248 18 12 37.32 +03 49 33.2 LB   
249 18 12 37.92 +07 18 23.1 RRAB 
250 18 12 40.09 +04 45 30.6 LB   
251 18 12 59.75 +04 20 35.3 LB   
252 18 13 00.21 +06 52 27.4 EB   
253 18 13 01.88 +03 40 41.8 LB   
254 18 13 06.78 +08 15 49.4 LB   
255 18 13 08.61 +05 25 22.3 SR:  
256 18 13 13.90 +06 16 54.9 SR   
257 18 13 21.93 +04 20 39.6 RRAB 
258 18 13 27.91 +06 23 12.4 SR:  
259 18 13 37.28 +06 53 38.4 LB   
260 18 13 44.99 +06 32 19.9 RRAB 
261 18 13 54.90 +04 42 37.9 EW   
262 18 13 56.50 +06 22 44.3 LB   
263 18 13 58.69 +08 55 44.0 EB   
264 18 14 07.60 +09 01 41.7 SR:  
265 18 14 12.34 +05 07 30.4 LB   
266 18 14 22.84 +05 31 30.7 RRAB 
267 18 14 22.88 +06 09 56.4 RRAB 
268 18 14 24.38 +07 12 52.2 SR   
269 18 15 04.17 +07 55 41.5 RRAB 
270 18 15 11.71 +06 47 02.6 RRAB 
271 18 15 13.53 +09 06 07.8 LB   
272 18 15 14.48 +07 29 35.4 LB   
