#Table1
objid,ra,dec,u,g,r,i,z
1237667540679787552,149.952185986639,20.0068204065293,24.54712,24.1518,22.20515,21.93805,21.82258
1237667540679787528,149.937743392628,19.994114636126,23.4753,23.44545,21.81803,20.74651,20.05929
1237667540679787236,149.965931603842,19.943083059134,24.36697,24.22398,24.73541,22.3716,22.25604
1237667540679787691,149.960041428024,19.929776386057,25.32248,24.37973,23.96966,22.57007,22.29247
1237667540679787266,149.983697338592,19.9243181508534,24.19884,21.68089,20.20617,19.17081,18.59343
1237667540679852152,149.990683182023,19.9336542817189,20.82052,19.64188,19.18082,18.9244,18.7516
1237667540679852419,149.983772202498,19.9410937960546,25.18873,24.89008,24.93736,22.28128,22.48594
1237667540679852420,149.982741441298,19.9408184043781,24.33267,24.67689,24.68633,22.65037,22.63358
1237667540679786598,149.969998736568,19.9448372207324,24.93092,23.24562,24.37328,24.49154,22.56615
1237667540679786597,149.973310526714,19.9443552831486,24.3674,24.18579,23.23191,22.27476,21.50764
1237667540679787554,149.970947710762,19.9399101927428,24.26012,23.54147,22.03133,21.59754,21.53224
1237667540679786596,149.971250187285,19.9446329069005,19.07302,18.14919,17.79511,17.66474,17.60424
1237667540679786884,149.976380830624,19.9375703254922,22.01169,21.28089,21.04199,20.893,20.96118
1237667540679787557,149.966705417006,19.9654972589441,23.8935,24.19764,23.1523,22.68534,21.59781
1237667540679787244,149.96668661454,19.9493422120372,23.03759,22.71437,21.97849,21.91496,21.9044
1237667540679787523,149.946452881241,19.9542874972097,25.43415,24.71089,23.03678,23.19531,21.76982
1237667540679787688,149.947832873733,19.9650118654223,24.20856,23.59981,23.51727,22.57999,22.61911
1237667540679787692,149.959103507246,19.9412702218234,25.73852,24.55167,24.97225,22.4462,22.79988
1237667540679787526,149.950440881652,19.9454929526785,23.74073,23.61153,22.91304,22.75546,21.49961
1237667540679787520,149.948949034467,19.9367122985479,25.14961,23.30326,22.86839,23.34975,22.28565
